epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5001.41,1.34797,0.91306,0.95111,0.76633,0.5187,0.62239,0.37071,1.29834,0.86304,0.94892,0.0059905,0.0059905,0.0059905
83,5061.96,1.35571,0.9138,0.95181,0.72027,0.53144,0.61298,0.36755,1.28324,0.86436,0.94625,0.005941,0.005941,0.005941
84,5122.71,1.36105,0.91824,0.95258,0.76244,0.51716,0.61586,0.36835,1.29087,0.86948,0.94991,0.0058915,0.0058915,0.0058915
85,5183.24,1.34836,0.91045,0.95335,0.78159,0.51953,0.61953,0.36866,1.30441,0.89265,0.95609,0.005842,0.005842,0.005842
86,5243.69,1.34957,0.91322,0.95266,0.78049,0.51289,0.61553,0.36848,1.29873,0.86262,0.94851,0.0057925,0.0057925,0.0057925
87,5304.21,1.35318,0.90977,0.95363,0.76561,0.52269,0.61957,0.37184,1.28473,0.85944,0.94713,0.005743,0.005743,0.005743
88,5364.61,1.34777,0.90949,0.95222,0.79505,0.51278,0.61945,0.37462,1.27398,0.84713,0.94623,0.0056935,0.0056935,0.0056935
89,5425.09,1.34183,0.90236,0.94921,0.79602,0.51531,0.62291,0.37108,1.29907,0.85477,0.94965,0.005644,0.005644,0.005644
90,5485.44,1.33535,0.89864,0.95063,0.76893,0.52319,0.62669,0.37499,1.28166,0.84912,0.94403,0.0055945,0.0055945,0.0055945
91,5545.74,1.33541,0.90089,0.94818,0.78299,0.51042,0.62194,0.37279,1.29004,0.83333,0.94522,0.005545,0.005545,0.005545
92,5606.55,1.33934,0.90645,0.95235,0.76139,0.5218,0.62494,0.37275,1.29721,0.85493,0.94726,0.0054955,0.0054955,0.0054955
93,5667.26,1.33721,0.89519,0.94742,0.76623,0.52365,0.62629,0.37213,1.30467,0.85463,0.95102,0.005446,0.005446,0.005446
94,5728.17,1.3326,0.89966,0.94414,0.7416,0.53803,0.62337,0.3706,1.31228,0.85162,0.95661,0.0053965,0.0053965,0.0053965
95,5788.9,1.32047,0.88602,0.94674,0.78542,0.51299,0.62411,0.37504,1.29633,0.84803,0.95112,0.005347,0.005347,0.005347
96,5849.51,1.33346,0.88998,0.94763,0.80279,0.51299,0.62425,0.37667,1.28536,0.843,0.94951,0.0052975,0.0052975,0.0052975
97,5909.98,1.32437,0.88996,0.94426,0.78997,0.5116,0.62054,0.3744,1.29649,0.85452,0.95107,0.005248,0.005248,0.005248
98,5970.42,1.33017,0.88941,0.94682,0.78536,0.51252,0.62228,0.3757,1.29583,0.85828,0.94967,0.0051985,0.0051985,0.0051985
99,6030.54,1.31908,0.88057,0.94426,0.77368,0.51716,0.62542,0.37485,1.30291,0.85576,0.95008,0.005149,0.005149,0.005149
100,6091.03,1.32063,0.88271,0.94643,0.7738,0.51725,0.62145,0.37171,1.30189,0.84964,0.94925,0.0050995,0.0050995,0.0050995
101,6151.57,1.31107,0.87333,0.9424,0.79301,0.50232,0.61636,0.37024,1.30052,0.84693,0.95015,0.00505,0.00505,0.00505
102,6212.07,1.31818,0.8861,0.94158,0.79566,0.50696,0.61699,0.37033,1.30733,0.85237,0.95369,0.0050005,0.0050005,0.0050005
103,6272.46,1.327,0.88516,0.94566,0.79516,0.50557,0.61831,0.37314,1.3085,0.85637,0.95117,0.004951,0.004951,0.004951
104,6332.87,1.32312,0.87557,0.94009,0.79405,0.50928,0.61894,0.37208,1.30718,0.85103,0.95218,0.0049015,0.0049015,0.0049015
105,6393.6,1.30572,0.87199,0.94133,0.80264,0.51345,0.62122,0.37299,1.29652,0.84738,0.94563,0.004852,0.004852,0.004852
106,6453.99,1.30062,0.86267,0.93822,0.81108,0.49981,0.6196,0.37227,1.28839,0.84802,0.94559,0.0048025,0.0048025,0.0048025
107,6514.13,1.31052,0.86926,0.93717,0.78746,0.51577,0.622,0.37239,1.29355,0.84467,0.94813,0.004753,0.004753,0.004753
108,6574.98,1.30847,0.86801,0.9441,0.77678,0.51577,0.61877,0.37207,1.30009,0.84904,0.94813,0.0047035,0.0047035,0.0047035
109,6635.48,1.30573,0.86571,0.94061,0.78057,0.51252,0.61617,0.37129,1.30563,0.84967,0.94954,0.004654,0.004654,0.004654
110,6695.91,1.30115,0.86095,0.93984,0.78679,0.50836,0.6165,0.36953,1.3056,0.85354,0.95024,0.0046045,0.0046045,0.0046045
111,6756.37,1.29502,0.86226,0.93495,0.77579,0.5116,0.6168,0.37121,1.29785,0.8555,0.94838,0.004555,0.004555,0.004555
112,6816.87,1.2943,0.86048,0.93719,0.76057,0.51567,0.61791,0.37113,1.29302,0.8535,0.94709,0.0045055,0.0045055,0.0045055
113,6877.77,1.29472,0.85261,0.93509,0.79761,0.50696,0.62067,0.37302,1.29013,0.85318,0.94716,0.004456,0.004456,0.004456
114,6939.36,1.285,0.85336,0.93269,0.7902,0.50974,0.62178,0.37507,1.29487,0.84967,0.94822,0.0044065,0.0044065,0.0044065
115,7000.83,1.28721,0.85411,0.93369,0.77716,0.50835,0.61988,0.37466,1.29951,0.85041,0.94793,0.004357,0.004357,0.004357
116,7061.92,1.28986,0.84972,0.9328,0.8075,0.50603,0.62237,0.37429,1.30515,0.84423,0.94924,0.0043075,0.0043075,0.0043075
117,7123.45,1.28643,0.84612,0.93145,0.81378,0.50557,0.62322,0.37386,1.3046,0.84273,0.94809,0.004258,0.004258,0.004258
118,7184.85,1.28836,0.85038,0.93386,0.81374,0.50603,0.62231,0.37394,1.30279,0.84233,0.94678,0.0042085,0.0042085,0.0042085
119,7245.63,1.28092,0.84721,0.93379,0.80224,0.51299,0.6213,0.37262,1.29709,0.84327,0.94458,0.004159,0.004159,0.004159
120,7306.33,1.28064,0.84146,0.93206,0.79863,0.51322,0.6196,0.37233,1.29529,0.83829,0.94213,0.0041095,0.0041095,0.0041095
121,7367.08,1.27337,0.8406,0.9298,0.79033,0.51067,0.62087,0.37338,1.28701,0.83976,0.94067,0.00406,0.00406,0.00406
122,7427.96,1.27644,0.83876,0.93181,0.78897,0.51855,0.62443,0.37381,1.28552,0.83509,0.9414,0.0040105,0.0040105,0.0040105
123,7488.51,1.27474,0.84225,0.93124,0.80512,0.50788,0.62436,0.37275,1.28561,0.83744,0.94145,0.003961,0.003961,0.003961
124,7549.23,1.27855,0.83838,0.93103,0.81182,0.50788,0.62335,0.37216,1.28809,0.83992,0.94157,0.0039115,0.0039115,0.0039115
125,7610.31,1.27187,0.83723,0.93097,0.78564,0.51507,0.62435,0.37456,1.28519,0.84246,0.94078,0.003862,0.003862,0.003862
126,7671.48,1.25982,0.82816,0.92972,0.76408,0.52458,0.62122,0.37491,1.28625,0.83832,0.941,0.0038125,0.0038125,0.0038125
127,7732.37,1.25495,0.82735,0.92687,0.75965,0.5292,0.62532,0.37535,1.29056,0.84296,0.94137,0.003763,0.003763,0.003763
128,7793.25,1.25953,0.82788,0.92991,0.77361,0.52551,0.62432,0.37436,1.29244,0.84254,0.94295,0.0037135,0.0037135,0.0037135
129,7854.19,1.2567,0.83089,0.92859,0.77235,0.52244,0.6226,0.37586,1.29177,0.83809,0.94349,0.003664,0.003664,0.003664
130,7915.27,1.25512,0.82286,0.92531,0.77408,0.52285,0.62107,0.37166,1.29576,0.83588,0.94431,0.0036145,0.0036145,0.0036145
131,7976.14,1.25782,0.82378,0.92756,0.78023,0.5167,0.62112,0.37087,1.29703,0.83804,0.94475,0.003565,0.003565,0.003565
132,8036.44,1.25423,0.81911,0.92357,0.75803,0.53471,0.62148,0.37189,1.30434,0.83993,0.94715,0.0035155,0.0035155,0.0035155
133,8097.23,1.24657,0.82026,0.92466,0.78336,0.51531,0.62206,0.37076,1.30773,0.84688,0.94813,0.003466,0.003466,0.003466
134,8158.09,1.25178,0.81708,0.92641,0.77662,0.51438,0.62043,0.37077,1.31152,0.85116,0.9492,0.0034165,0.0034165,0.0034165
135,8219.16,1.24724,0.81512,0.92513,0.76602,0.52458,0.62033,0.37122,1.3111,0.85166,0.95027,0.003367,0.003367,0.003367
136,8280.13,1.23804,0.81104,0.92232,0.76562,0.52319,0.61908,0.37,1.31219,0.85152,0.95031,0.0033175,0.0033175,0.0033175
